               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054816,            0.027179,            0.010836,             0.89215,             0.77007,             0.83499,              0.5513,             0.04324,            0.018439,           0.0081792,            0.003329,            0.003329,            0.070039
                   1,            0.051864,            0.025127,            0.010336,             0.88981,             0.74997,             0.82714,             0.54219,             0.04191,            0.018693,           0.0089584,            0.006661,            0.006661,            0.040038
                   2,            0.050723,            0.025756,            0.011308,             0.85353,             0.71638,             0.78538,              0.5085,            0.041353,            0.019645,            0.010331,           0.0099878,           0.0099878,            0.010031
                   3,            0.050061,            0.025904,            0.011653,             0.86089,             0.75143,             0.81125,             0.54122,            0.039871,             0.01865,           0.0092554,           0.0099822,           0.0099822,           0.0099822
                   4,            0.048913,            0.025334,            0.011108,             0.88003,             0.75096,             0.81768,             0.55722,            0.038932,              0.0182,           0.0092458,           0.0099822,           0.0099822,           0.0099822
                   5,             0.04836,             0.02511,            0.010877,             0.89039,             0.75254,             0.82757,             0.56725,            0.038398,            0.017986,           0.0087857,           0.0099685,           0.0099685,           0.0099685
                   6,            0.048103,             0.02492,            0.010725,             0.88634,             0.76313,             0.82967,             0.57647,            0.037976,            0.017772,           0.0087088,           0.0099508,           0.0099508,           0.0099508
                   7,            0.047805,            0.024804,            0.010643,             0.88719,             0.76537,             0.83321,              0.5817,            0.037581,            0.017668,           0.0085293,           0.0099291,           0.0099291,           0.0099291
                   8,            0.047675,            0.024794,            0.010555,             0.89459,             0.76849,             0.83727,             0.58406,            0.037395,            0.017519,           0.0084559,           0.0099037,           0.0099037,           0.0099037
                   9,            0.047474,            0.024686,            0.010498,             0.89135,             0.77011,             0.83827,             0.58808,            0.037063,            0.017447,           0.0081959,           0.0098743,           0.0098743,           0.0098743
                  10,            0.047502,             0.02471,            0.010477,             0.90458,             0.76762,             0.84041,             0.59514,            0.036769,            0.017273,            0.008148,           0.0098412,           0.0098412,           0.0098412
                  11,            0.047362,            0.024583,             0.01042,             0.89223,             0.78168,             0.84206,             0.59581,            0.036577,            0.017233,            0.008102,           0.0098042,           0.0098042,           0.0098042
                  12,            0.047157,            0.024571,            0.010381,             0.90045,             0.77999,             0.84378,             0.59742,            0.036463,            0.017186,           0.0080883,           0.0097635,           0.0097635,           0.0097635
                  13,              0.0472,            0.024573,            0.010364,             0.91049,             0.77462,             0.84457,             0.60016,            0.036334,            0.017151,           0.0079433,           0.0097191,           0.0097191,           0.0097191
                  14,            0.047125,            0.024567,            0.010344,             0.90615,              0.7788,             0.84784,             0.60473,            0.036189,            0.017053,           0.0078876,            0.009671,            0.009671,            0.009671
                  15,            0.047031,            0.024522,            0.010304,             0.91077,             0.77988,             0.84885,             0.60557,            0.036121,            0.017013,           0.0078553,           0.0096193,           0.0096193,           0.0096193
                  16,            0.046942,            0.024408,            0.010273,              0.9121,             0.77859,             0.84893,             0.60762,            0.036027,            0.016943,           0.0078264,            0.009564,            0.009564,            0.009564
                  17,            0.046939,            0.024512,            0.010274,             0.89756,             0.78874,             0.84923,             0.60813,            0.035939,            0.016915,           0.0077996,           0.0095052,           0.0095052,           0.0095052
